,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
1006,1007,C,Ship,3,1,185,2,medium,F,42,2803
9192,9193,D,Flight,7,1,280,5,low,M,10,1199
1914,1915,D,Flight,5,2,223,3,low,F,51,3687
3494,3495,A,Ship,3,4,113,3,medium,M,1,5765
10605,10606,B,Ship,5,2,254,3,low,F,9,5714
10727,10728,F,Ship,5,4,219,5,low,M,10,1363
7825,7826,F,Flight,2,4,233,4,medium,F,4,5408
4990,4991,C,Ship,2,3,198,2,medium,F,6,1996
2536,2537,C,Ship,4,4,205,3,low,F,58,2522
1104,1105,D,Flight,3,4,188,4,low,F,49,3067
3875,3876,F,Ship,4,5,155,3,medium,M,8,4924
8878,8879,C,Road,4,1,271,5,medium,F,3,1328
1752,1753,D,Ship,3,1,192,3,medium,M,35,2258
5310,5311,D,Ship,2,1,219,4,low,M,7,5573
5952,5953,D,Ship,3,2,204,10,medium,F,10,4534
8343,8344,B,Road,4,5,219,5,low,M,2,1260
2916,2917,D,Ship,5,1,154,2,low,M,37,1671
8947,8948,F,Ship,4,4,220,3,low,F,4,5622
5754,5755,D,Flight,6,4,305,4,low,F,7,1172
152,153,A,Flight,3,4,97,4,low,M,32,1238
5230,5231,C,Ship,4,3,262,3,low,M,9,4404
8769,8770,B,Flight,5,2,174,5,medium,M,8,4656
5679,5680,B,Ship,3,4,205,3,high,F,1,5407
3907,3908,F,Ship,3,1,229,3,low,M,5,4971
10059,10060,B,Ship,4,5,155,3,low,F,10,5315
2552,2553,A,Ship,4,1,141,2,low,M,10,1340
2773,2774,F,Ship,5,5,171,3,high,M,14,1554
10309,10310,F,Ship,6,1,208,5,low,M,6,4537
3551,3552,F,Road,6,1,163,4,high,M,3,4031
3722,3723,A,Ship,4,2,174,3,medium,F,10,4318
9066,9067,D,Ship,5,5,196,3,medium,M,7,4084
520,521,C,Ship,3,1,145,2,low,F,34,1773
10579,10580,F,Ship,5,2,176,4,low,M,10,5532
8807,8808,F,Ship,4,4,224,3,medium,F,1,4231
9862,9863,C,Flight,4,5,171,2,medium,F,1,4439
4538,4539,A,Ship,3,1,219,8,low,M,2,5334
6175,6176,F,Flight,3,5,189,3,low,M,5,5422
8218,8219,C,Flight,4,2,175,3,high,M,4,4426
7081,7082,F,Ship,4,3,260,3,low,F,5,5540
1822,1823,C,Ship,6,3,176,5,low,F,7,1767
4086,4087,D,Road,4,4,164,2,low,F,9,1949
7467,7468,B,Ship,5,1,245,5,low,F,5,1996
9635,9636,F,Ship,7,3,256,4,medium,M,4,1628
6896,6897,A,Ship,6,2,291,4,low,M,9,1241
1991,1992,F,Ship,4,5,258,3,medium,F,37,2289
9702,9703,D,Road,6,3,264,4,medium,F,3,1498
309,310,B,Ship,5,5,266,3,medium,F,53,3089
4308,4309,D,Ship,4,3,224,3,medium,F,9,5283
7859,7860,F,Ship,5,2,189,2,medium,M,2,4636
8540,8541,A,Ship,3,4,195,10,low,M,5,5950
3599,3600,F,Ship,3,4,217,3,low,F,5,4883
3622,3623,C,Ship,3,2,146,3,high,F,4,5846
3811,3812,F,Road,2,5,147,2,medium,F,8,5499
6005,6006,F,Road,6,4,292,4,low,M,3,1826
9586,9587,C,Flight,4,5,265,2,low,M,9,5040
3450,3451,D,Ship,4,3,246,3,low,F,5,5118
4591,4592,F,Ship,2,1,235,3,medium,F,6,4411
205,206,F,Ship,2,3,145,3,medium,F,24,7588
10823,10824,F,Flight,5,5,203,2,low,M,10,4790
1135,1136,F,Ship,6,1,257,3,medium,M,60,3416
6680,6681,A,Ship,4,2,201,2,low,M,3,4869
10332,10333,D,Ship,5,4,161,5,medium,M,1,5779
2749,2750,F,Flight,3,3,192,7,high,F,25,2152
3613,3614,F,Ship,4,5,274,2,low,F,2,4492
305,306,F,Ship,4,4,249,3,medium,F,36,3769
1849,1850,F,Ship,3,2,178,2,low,M,32,1329
7826,7827,A,Ship,4,2,136,4,medium,M,9,5038
9985,9986,F,Road,4,4,233,3,low,M,9,4300
1988,1989,A,Ship,4,4,252,6,medium,M,44,2676
3240,3241,D,Ship,2,5,117,3,high,F,2,4268
2798,2799,A,Ship,2,1,174,3,medium,F,12,1358
4515,4516,B,Road,2,4,255,7,low,F,9,5224
5630,5631,A,Flight,5,5,175,6,medium,F,2,4995
8767,8768,F,Flight,4,4,209,6,low,F,7,4852
3109,3110,F,Ship,4,2,265,4,medium,F,40,2637
4939,4940,F,Flight,3,4,235,3,low,M,4,5498
4059,4060,B,Ship,4,3,261,3,medium,M,1,4590
1987,1988,F,Ship,2,3,151,3,medium,M,22,1024
5934,5935,D,Ship,3,4,263,6,high,M,3,4429
9780,9781,D,Ship,5,3,223,3,low,F,2,4671
8045,8046,F,Ship,5,1,307,4,low,M,8,1511
383,384,F,Ship,4,5,175,2,low,M,40,1270
5634,5635,D,Ship,3,4,145,2,high,F,5,5513
4307,4308,F,Ship,4,5,135,3,medium,F,6,5266
3388,3389,C,Ship,2,2,180,3,low,M,2,5033
3156,3157,D,Flight,3,5,132,3,low,M,7,4013
6053,6054,F,Ship,6,2,293,6,low,F,10,1919
10994,10995,A,Ship,4,1,252,5,medium,F,1,1538
6534,6535,D,Ship,4,5,242,2,low,M,4,5341
2727,2728,B,Road,4,4,208,2,high,F,20,2759
9652,9653,C,Ship,3,2,158,2,medium,M,9,4881
7633,7634,F,Ship,4,5,111,4,medium,M,7,5988
9571,9572,F,Road,4,1,230,3,low,M,8,4107
9137,9138,F,Ship,3,5,219,6,low,M,1,1394
10655,10656,F,Ship,4,4,255,6,low,M,5,1708
7342,7343,C,Ship,4,4,238,3,low,F,7,4709
3832,3833,C,Flight,4,1,215,3,low,F,2,5563
9593,9594,F,Flight,5,4,205,3,low,F,3,4157
4776,4777,D,Road,4,5,169,10,medium,F,6,4385
4276,4277,C,Ship,4,3,175,4,medium,F,4,5685
253,254,F,Road,2,5,160,3,low,F,19,1399
7499,7500,F,Ship,5,5,262,6,low,F,5,1418
10560,10561,D,Flight,3,4,216,3,low,F,3,5817
2924,2925,A,Ship,2,2,152,4,low,F,48,1212
278,279,A,Flight,4,3,171,3,low,F,24,1304
6771,6772,B,Ship,4,4,195,4,medium,M,2,5464
3252,3253,D,Ship,3,2,160,3,medium,F,6,4808
7596,7597,D,Ship,3,5,224,2,low,F,10,4380
2480,2481,A,Flight,5,5,209,3,low,M,49,3893
289,290,F,Flight,4,2,172,3,medium,F,59,1858
7396,7397,C,Flight,4,2,239,5,low,F,10,1429
3075,3076,B,Ship,4,4,182,2,low,F,13,3332
4073,4074,F,Ship,2,1,187,3,medium,F,3,5922
2583,2584,B,Road,5,3,225,4,low,F,60,2130
7775,7776,F,Ship,4,5,239,3,medium,M,1,5482
6108,6109,D,Ship,2,5,189,2,low,M,9,5245
5089,5090,F,Ship,2,4,272,2,medium,M,4,4632
6332,6333,A,Ship,2,2,199,3,low,M,1,4697
8129,8130,F,Ship,4,4,104,4,low,M,6,4323
8517,8518,B,Ship,4,4,183,4,low,F,6,4562
10693,10694,F,Flight,4,3,261,10,low,F,6,4347
9248,9249,A,Ship,4,2,231,4,medium,M,9,5194
6850,6851,C,Flight,3,3,180,7,medium,F,4,5068
9867,9868,B,Flight,3,3,220,3,low,F,10,5234
7435,7436,F,Ship,6,5,240,3,low,M,4,5219
4066,4067,C,Ship,3,5,150,2,medium,M,10,5944
270,271,D,Flight,3,2,209,5,medium,F,12,3054
6009,6010,B,Road,4,2,265,6,low,M,8,1391
8810,8811,A,Ship,4,4,266,7,medium,F,10,5901
4570,4571,C,Ship,3,5,134,2,low,F,4,5291
3576,3577,D,Flight,4,5,168,4,medium,F,4,4776
3565,3566,F,Flight,5,1,279,8,low,F,6,5888
2971,2972,F,Ship,5,3,145,2,medium,M,6,1965
10826,10827,A,Flight,4,5,167,2,low,F,10,5067
9665,9666,F,Ship,7,5,289,4,low,F,10,1074
4207,4208,F,Ship,3,5,167,2,low,F,2,4141
3218,3219,A,Ship,4,2,210,3,medium,F,1,4379
1391,1392,F,Ship,4,4,150,3,high,M,9,1620
6696,6697,D,Road,3,4,151,4,medium,F,1,4587
3975,3976,B,Flight,5,4,227,2,low,F,9,5706
4316,4317,A,Ship,3,2,259,8,high,M,3,4390
8145,8146,B,Ship,5,2,284,4,low,M,1,4171
2675,2676,F,Ship,3,2,109,3,low,F,30,1597
6897,6898,B,Ship,4,2,264,5,medium,F,6,1736
1422,1423,D,Ship,4,3,186,3,low,F,25,3851
83,84,F,Ship,5,5,162,3,high,F,31,1364
873,874,B,Ship,4,4,197,3,medium,M,20,3080
10576,10577,C,Ship,3,5,196,3,low,F,5,4891
10631,10632,F,Ship,4,2,230,3,high,F,5,5888
4557,4558,B,Ship,6,2,256,5,medium,F,2,1449
4500,4501,D,Road,2,5,170,5,low,F,10,5621
4647,4648,B,Road,3,2,271,2,medium,M,6,5280
9222,9223,D,Ship,4,1,231,3,medium,M,5,4118
6470,6471,A,Ship,3,5,270,3,high,M,1,4078
2038,2039,C,Road,3,2,254,2,low,M,37,2469
9915,9916,B,Ship,5,3,275,5,low,F,2,1816
10670,10671,A,Road,5,3,254,5,low,M,10,1501
1132,1133,C,Ship,3,3,175,3,high,F,45,1212
2450,2451,A,Road,4,2,163,3,low,F,27,1639
3954,3955,D,Road,3,2,269,4,medium,M,1,5797
2329,2330,F,Flight,4,2,192,4,low,F,61,2256
10047,10048,B,Ship,5,4,239,3,low,F,7,4960
6242,6243,A,Ship,4,5,251,2,medium,F,8,5232
8380,8381,C,Ship,5,2,246,3,low,F,9,5795
5042,5043,A,Road,6,3,247,4,medium,F,9,1011
10311,10312,B,Ship,3,5,174,3,low,M,7,5672
4746,4747,D,Ship,3,3,195,7,medium,F,4,4614
10315,10316,F,Ship,4,2,146,3,low,F,9,5871
9054,9055,D,Flight,5,5,169,3,medium,M,2,5942
8895,8896,B,Road,6,4,249,4,low,M,2,1516
8077,8078,F,Road,4,4,155,4,low,F,10,5483
7722,7723,D,Ship,7,4,308,5,medium,F,7,1563
7159,7160,F,Ship,3,4,177,4,medium,F,3,1148
2401,2402,F,Ship,5,4,259,3,medium,F,43,2685
5520,5521,D,Ship,6,5,301,4,medium,F,2,1943
1216,1217,C,Road,3,5,256,3,low,F,62,2971
9583,9584,F,Road,3,2,145,2,low,M,3,4409
6020,6021,A,Road,6,4,300,4,medium,F,7,1607
8275,8276,F,Ship,5,4,262,3,medium,F,6,4428
1064,1065,A,Ship,3,2,147,4,low,M,13,1657
3786,3787,D,Ship,3,2,144,10,high,F,3,5000
4410,4411,D,Ship,3,5,197,3,medium,F,2,4018
5385,5386,B,Ship,3,2,238,4,low,F,7,5254
8209,8210,F,Road,4,3,152,4,medium,F,4,5809
5523,5524,B,Ship,4,1,218,5,low,F,5,1238
5996,5997,A,Ship,6,5,249,4,medium,M,3,1710
9736,9737,C,Flight,4,2,111,2,high,F,4,5393
7225,7226,F,Ship,5,4,219,2,medium,F,5,4919
5888,5889,A,Flight,5,2,162,4,medium,M,7,5477
2161,2162,F,Ship,4,2,270,2,low,M,65,3599
3008,3009,A,Road,3,1,159,2,medium,F,44,1806
9620,9621,A,Ship,2,4,180,2,low,F,6,5579
1105,1106,F,Flight,5,3,202,3,high,M,41,3536
8095,8096,F,Flight,4,2,266,5,medium,M,3,4578
692,693,A,Flight,4,1,250,2,low,M,17,3544
2003,2004,F,Ship,6,5,210,5,high,M,37,3236
4956,4957,D,Ship,3,3,135,3,medium,M,2,5860
8027,8028,F,Ship,6,5,301,4,low,F,7,1393
9332,9333,A,Flight,6,4,144,4,low,F,5,4631
4369,4370,F,Road,3,5,244,3,low,M,3,4652
9785,9786,F,Ship,5,1,183,3,medium,F,8,4531
2765,2766,F,Ship,5,5,226,3,low,M,50,2348
3929,3930,F,Ship,4,4,181,4,low,M,4,5767
8431,8432,F,Ship,3,1,250,4,low,F,8,4028
9627,9628,B,Ship,5,5,236,5,low,M,3,1933
10806,10807,D,Road,5,3,242,5,low,M,3,1276
7769,7770,F,Ship,7,4,310,4,low,M,6,1003
628,629,C,Ship,6,1,104,4,medium,F,23,1442
2451,2452,B,Road,4,3,272,4,low,M,61,2857
7586,7587,A,Ship,5,1,238,6,medium,M,10,5508
8001,8002,B,Ship,7,2,285,4,low,M,2,1491
3824,3825,A,Road,4,2,245,2,low,M,1,5978
9890,9891,A,Ship,3,4,247,3,low,F,4,5844
2652,2653,D,Ship,3,3,158,3,low,F,20,1431
10027,10028,F,Ship,5,5,207,4,low,F,1,5035
3743,3744,F,Ship,4,2,233,2,low,F,5,4817
2176,2177,C,Road,4,3,163,3,low,F,45,1395
10895,10896,F,Ship,6,3,244,3,medium,M,4,5277
6689,6690,F,Road,4,4,263,3,medium,M,5,4193
10199,10200,F,Ship,4,3,248,5,low,F,7,1789
3318,3319,D,Ship,3,2,254,2,low,M,1,4334
7706,7707,A,Ship,5,3,232,5,medium,F,2,1057
2787,2788,B,Ship,5,4,264,10,medium,F,34,2960
4105,4106,F,Flight,3,2,273,3,medium,F,2,4948
10508,10509,A,Ship,4,2,222,2,medium,M,10,5115
1676,1677,A,Ship,3,4,240,2,medium,F,2,3729
3947,3948,F,Road,4,2,202,3,low,M,9,4955
4444,4445,C,Ship,2,2,150,2,medium,F,9,4917
2936,2937,A,Ship,6,4,138,5,medium,F,15,1181
7322,7323,A,Ship,4,3,178,3,medium,M,6,4576
8101,8102,F,Ship,3,1,146,3,medium,M,9,4944
2837,2838,F,Ship,3,5,146,3,medium,F,30,1569
5722,5723,C,Ship,6,3,266,4,medium,M,8,1983
9835,9836,F,Ship,4,3,244,3,low,M,9,5339
2503,2504,F,Ship,5,4,156,2,low,F,57,1842
9335,9336,F,Ship,3,3,144,3,medium,M,8,5727
2369,2370,F,Ship,4,5,144,3,low,M,9,1526
4967,4968,F,Ship,3,1,268,3,low,M,2,4746
5883,5884,B,Road,3,2,157,2,low,F,7,5228
2217,2218,B,Ship,5,2,160,4,medium,M,43,1479
5847,5848,B,Ship,5,5,184,3,medium,M,7,4742
2218,2219,C,Ship,4,2,243,3,medium,F,13,2850
3326,3327,A,Ship,4,2,156,3,low,M,3,5923
9164,9165,A,Road,4,2,232,5,medium,M,3,1197
7323,7324,B,Ship,5,1,151,6,medium,M,2,4529
3583,3584,F,Ship,4,5,173,3,low,F,7,4410
10807,10808,F,Road,5,5,223,6,medium,F,10,1711
3619,3620,F,Ship,3,1,210,2,low,M,9,4580
6217,6218,F,Ship,6,4,244,4,low,M,1,1130
2468,2469,A,Flight,4,2,148,3,medium,M,2,1805
7811,7812,F,Flight,5,4,228,4,high,F,7,5913
3115,3116,F,Ship,4,4,134,3,low,F,14,1716
85,86,F,Ship,3,4,197,3,medium,M,13,2148
9318,9319,D,Flight,4,2,219,3,low,F,9,5703
5973,5974,B,Ship,4,1,220,3,medium,M,1,5159
2801,2802,F,Ship,4,5,245,3,medium,M,6,2717
3671,3672,F,Ship,4,4,245,4,medium,M,4,5203
3667,3668,F,Ship,4,4,184,3,medium,F,2,4124
10775,10776,F,Ship,5,3,230,5,low,M,7,1996
10894,10895,C,Ship,3,2,248,3,medium,M,8,5171
5158,5159,C,Ship,4,3,254,2,high,F,3,4930
6976,6977,C,Road,6,5,148,4,low,M,1,5216
5725,5726,F,Ship,6,2,268,4,low,F,7,1274
4590,4591,D,Ship,5,3,210,3,high,F,4,4819
2019,2020,B,Ship,4,4,212,3,medium,M,50,2073
3423,3424,B,Flight,3,4,213,3,low,F,4,5481
2525,2526,F,Ship,4,5,156,3,low,M,39,1483
8538,8539,D,Ship,4,3,239,3,low,M,10,4020
9551,9552,F,Ship,3,1,274,4,low,M,3,5979
3212,3213,A,Ship,4,5,243,3,low,F,2,4909
519,520,B,Ship,3,1,215,3,medium,F,2,3873
5366,5367,A,Ship,3,4,166,2,low,F,10,5258
10497,10498,B,Ship,2,3,136,3,low,M,10,4933
6593,6594,F,Ship,5,4,281,4,medium,M,8,1220
2895,2896,B,Ship,3,5,152,2,medium,F,6,1800
244,245,C,Ship,2,1,142,3,medium,F,8,6064
5930,5931,A,Ship,4,3,109,2,medium,F,4,5407
4714,4715,C,Ship,4,2,242,3,medium,M,8,4644
10140,10141,D,Flight,7,1,254,4,low,M,9,1876
3425,3426,F,Flight,4,5,219,3,medium,M,6,5957
8193,8194,B,Road,4,2,189,2,medium,M,5,4374
3642,3643,D,Ship,4,4,205,4,low,F,6,5064
9614,9615,A,Ship,5,1,176,6,medium,M,9,4839
8071,8072,F,Road,4,1,241,2,low,M,3,5672
7567,7568,F,Ship,3,1,251,2,low,F,7,5368
8497,8498,F,Flight,3,2,264,4,medium,M,1,4877
5509,5510,F,Ship,6,4,304,4,low,M,6,1342
6297,6298,B,Flight,6,1,293,5,medium,F,7,1052
2001,2002,B,Ship,4,3,134,3,medium,M,13,1985
885,886,B,Ship,3,2,252,4,low,M,29,2353
869,870,F,Ship,3,1,196,3,low,F,64,2911
6454,6455,C,Flight,5,5,131,5,low,F,1,5299
10663,10664,F,Road,5,4,262,6,low,M,3,1700
9877,9878,F,Flight,3,4,243,3,medium,M,6,4950
9743,9744,F,Flight,4,4,146,3,medium,F,6,4672
5720,5721,A,Ship,6,3,305,4,low,M,3,1276
356,357,A,Ship,3,4,198,2,low,M,25,2774
10896,10897,D,Ship,4,1,133,4,low,F,10,5258
5451,5452,B,Ship,4,4,259,7,medium,M,7,4408
7160,7161,A,Ship,5,3,257,5,low,F,3,1262
9020,9021,A,Road,3,2,124,5,medium,M,10,5348
7257,7258,B,Flight,5,5,239,3,medium,M,8,4975
7817,7818,F,Flight,5,2,152,3,medium,M,4,4699
2743,2744,F,Flight,4,3,132,4,medium,M,10,1767
6703,6704,F,Road,4,2,181,3,low,M,10,4212
1275,1276,B,Ship,4,3,210,2,medium,M,22,3124
1890,1891,D,Ship,3,4,190,7,medium,F,51,2391
9573,9574,B,Road,4,4,204,3,low,F,9,4757
6415,6416,F,Road,4,4,218,6,medium,M,8,5101
7991,7992,F,Ship,4,5,242,2,medium,F,2,4806
10112,10113,A,Road,3,3,137,3,high,M,7,5794
3563,3564,F,Flight,2,5,134,10,high,M,8,5472
5787,5788,B,Ship,7,5,265,4,low,F,9,1393
4958,4959,A,Ship,5,4,250,6,low,F,1,4343
1546,1547,C,Ship,3,3,205,2,low,F,15,3231
6193,6194,F,Ship,4,4,133,4,high,F,10,5296
2380,2381,C,Ship,4,1,228,3,low,F,53,2021
6474,6475,D,Ship,3,1,147,8,medium,M,6,4575
3823,3824,F,Road,3,3,154,10,medium,F,1,5235
3232,3233,C,Ship,3,3,255,2,low,M,8,5955
9245,9246,F,Ship,4,3,174,3,medium,M,2,4069
3306,3307,D,Ship,4,3,223,3,medium,F,9,5897
492,493,D,Ship,3,4,128,3,medium,F,51,1524
3499,3500,F,Ship,3,2,195,2,medium,M,9,5779
9107,9108,F,Ship,5,2,196,3,medium,M,4,4868
1116,1117,D,Ship,4,2,182,3,low,M,58,3943
5637,5638,B,Ship,3,2,215,3,medium,F,10,4198
9672,9673,D,Ship,6,4,296,4,low,M,7,1969
6146,6147,A,Road,4,5,234,4,medium,M,9,5769
10855,10856,F,Ship,3,3,198,2,low,M,7,4996
9673,9674,F,Ship,5,3,267,5,low,F,1,1505
8157,8158,B,Ship,4,5,101,6,medium,M,8,4146
9055,9056,F,Flight,3,3,168,2,high,M,10,5334
6857,6858,F,Flight,3,5,242,2,low,M,1,5803
9485,9486,F,Ship,3,5,98,3,medium,F,3,5553
6589,6590,F,Flight,5,3,218,5,low,F,6,1278
9988,9989,C,Road,3,5,148,3,low,M,4,5919
3645,3646,B,Ship,3,1,244,3,medium,F,1,5695
8248,8249,C,Ship,3,4,209,2,high,M,10,4540
2500,2501,C,Ship,4,3,209,6,low,F,59,2622
5677,5678,F,Ship,4,4,287,6,medium,M,6,5282
8826,8827,D,Ship,5,3,267,6,low,F,8,1421
5241,5242,B,Ship,3,4,247,3,low,M,6,4873
7932,7933,D,Road,3,3,188,5,low,F,6,5713
2783,2784,F,Ship,3,2,98,3,medium,F,60,1057
6158,6159,A,Road,4,5,182,3,medium,F,2,4473
3809,3810,F,Road,4,3,283,7,high,F,1,4216
8052,8053,D,Ship,6,4,253,4,medium,M,9,1488
9526,9527,C,Ship,4,2,241,6,medium,M,5,4880
2993,2994,F,Road,4,5,201,4,medium,M,46,3498
1696,1697,C,Ship,4,3,246,3,medium,F,52,2440
5685,5686,B,Ship,4,3,235,6,medium,M,2,4689
2295,2296,B,Ship,4,2,223,3,medium,F,56,3158
9056,9057,A,Flight,2,5,243,3,high,M,7,4486
6504,6505,D,Ship,7,1,264,4,medium,F,9,1829
5939,5940,F,Ship,4,4,274,2,low,F,7,4873
2052,2053,D,Flight,3,5,162,2,low,M,28,1948
1776,1777,D,Flight,6,1,154,5,medium,M,19,1842
9033,9034,B,Road,3,1,242,4,low,M,10,4809
3313,3314,F,Ship,4,4,212,2,medium,F,6,4117
4781,4782,F,Road,3,4,233,3,medium,F,10,4626
6632,6633,A,Ship,5,4,242,3,high,F,4,4805
9313,9314,F,Flight,3,1,174,3,medium,F,2,4972
9473,9474,F,Ship,5,1,137,3,medium,F,10,4641
1592,1593,A,Ship,4,5,156,3,low,F,2,1127
1723,1724,F,Ship,5,3,133,4,medium,F,29,1094
215,216,F,Ship,2,5,158,3,low,F,40,1722
9680,9681,A,Ship,7,3,255,4,medium,F,4,1373
6707,6708,F,Road,3,1,186,2,medium,F,7,4556
9088,9089,C,Ship,3,4,225,4,low,M,10,4460
490,491,C,Ship,2,1,176,3,low,F,15,1996
10057,10058,F,Ship,4,2,210,2,medium,F,1,5437
3483,3484,B,Ship,4,1,273,3,low,F,5,5323
7006,7007,C,Ship,4,1,238,3,high,F,4,4910
5102,5103,A,Ship,2,4,126,5,medium,M,2,5461
5187,5188,B,Road,5,5,257,4,medium,M,10,5180
3431,3432,F,Flight,3,1,228,3,medium,M,9,5530
6599,6600,F,Ship,7,3,310,5,low,F,5,1563
7873,7874,F,Ship,3,1,202,3,medium,F,7,5818
460,461,C,Ship,4,1,202,3,medium,F,18,3940
6410,6411,A,Ship,3,3,220,3,high,F,6,5269
7506,7507,D,Ship,7,5,253,4,low,F,6,1344
8371,8372,F,Flight,5,4,254,3,low,F,4,5611
6650,6651,A,Ship,5,5,162,2,medium,M,6,5868
5513,5514,F,Ship,4,1,233,4,low,M,2,1809
10443,10444,B,Ship,5,3,243,6,low,F,10,1078
25,26,F,Ship,3,1,225,4,low,M,29,3496
3512,3513,A,Ship,3,1,243,3,low,F,2,4989
2409,2410,B,Ship,3,2,180,2,low,F,6,1811
3270,3271,D,Road,5,3,141,2,medium,M,4,5257
5209,5210,F,Flight,4,5,263,3,medium,F,6,5445
9600,9601,D,Flight,4,4,132,3,medium,F,5,4613
1552,1553,C,Ship,4,1,211,2,medium,F,44,3099
10129,10130,F,Road,4,5,258,2,medium,F,2,4303
9497,9498,F,Ship,4,3,258,3,medium,F,7,4887
6683,6684,F,Ship,4,4,157,2,low,M,9,4491
3871,3872,F,Ship,4,2,265,4,medium,M,3,4283
7310,7311,A,Ship,4,4,218,4,medium,F,10,4967
3402,3403,D,Road,5,1,180,3,low,F,2,5013
4529,4530,F,Flight,4,5,142,10,high,F,5,4147
979,980,F,Ship,4,4,140,2,low,F,47,1831
2655,2656,B,Ship,6,3,154,5,medium,F,57,1117
1847,1848,F,Ship,5,1,269,3,medium,F,2,2136
8897,8898,F,Road,5,1,225,5,low,M,2,1812
9072,9073,D,Ship,5,4,137,2,low,M,7,5338
8439,8440,B,Ship,4,1,284,4,low,F,4,4795
8526,8527,D,Ship,3,5,269,8,medium,M,8,4462
5721,5722,B,Ship,6,3,309,4,low,M,5,1712
515,516,F,Ship,3,2,204,3,high,F,54,3608
9053,9054,F,Flight,4,2,238,2,low,M,1,5229
10619,10620,F,Ship,4,1,270,2,low,M,4,4369
9132,9133,D,Ship,4,5,251,5,medium,F,7,1381
1102,1103,C,Flight,4,1,227,3,medium,M,54,3043
3276,3277,D,Road,3,4,134,3,medium,F,9,4230
7864,7865,C,Ship,5,3,143,3,low,M,6,4761
5345,5346,F,Flight,3,3,175,3,low,M,2,5740
2657,2658,F,Ship,3,4,272,3,low,M,44,2548
9994,9995,C,Road,2,1,135,4,medium,F,8,5001
9177,9178,B,Flight,3,4,179,2,medium,M,5,1340
3996,3997,D,Ship,3,3,160,2,high,M,6,5667
194,195,A,Ship,4,2,270,4,low,F,46,1736
4711,4712,F,Ship,4,2,239,3,medium,F,5,5978
643,644,F,Ship,4,3,197,4,medium,M,58,3617
9234,9235,D,Ship,4,3,141,3,medium,F,3,4249
3285,3286,B,Flight,3,3,191,3,low,M,4,4586
3116,3117,A,Ship,3,5,195,2,low,F,42,3814
7872,7873,D,Ship,3,1,224,3,low,M,8,4908
3575,3576,F,Flight,4,5,275,6,medium,M,10,1400
6872,6873,A,Ship,2,3,164,5,low,M,7,1243
9938,9939,A,Ship,7,3,288,4,medium,M,3,1989
4320,4321,D,Ship,4,3,258,3,high,F,1,4653
7852,7853,C,Ship,3,5,150,3,high,M,6,4565
10991,10992,F,Ship,5,2,261,5,medium,M,9,1227
2207,2208,F,Flight,3,3,160,2,medium,F,32,1718
4552,4553,C,Ship,7,5,273,4,low,F,7,1364
4402,4403,C,Ship,4,2,193,2,medium,F,1,5909
9749,9750,F,Ship,3,5,147,2,medium,M,6,4350
7395,7396,B,Flight,5,2,223,5,low,F,5,1010
3718,3719,C,Ship,3,5,193,3,high,F,10,5991
972,973,D,Flight,4,5,243,2,low,M,23,2686
4579,4580,F,Ship,4,3,142,3,medium,F,6,5930
6516,6517,D,Ship,5,5,189,5,low,M,3,5254
6698,6699,A,Road,4,5,139,2,medium,F,1,4606
719,720,F,Ship,4,3,273,2,high,M,43,3462
7928,7929,A,Road,4,1,137,3,medium,F,3,4962
6155,6156,F,Road,4,5,159,2,low,F,3,5704
10383,10384,B,Ship,3,4,257,3,medium,M,10,4670
3896,3897,A,Ship,4,1,247,2,low,M,3,4113
2803,2804,F,Ship,3,3,141,4,low,F,35,1417
2566,2567,C,Ship,2,4,139,8,medium,F,62,1180
4025,4026,F,Ship,3,3,240,3,low,F,4,5056
6198,6199,D,Ship,3,5,175,3,medium,F,8,5471
32,33,A,Ship,3,1,223,3,low,F,22,3795
9143,9144,F,Ship,5,2,140,5,medium,M,2,1521
9734,9735,A,Flight,3,5,223,4,high,F,7,5042
10800,10801,D,Road,5,5,253,6,low,F,1,1300
4063,4064,F,Ship,3,5,193,3,medium,F,9,4982
9858,9859,D,Road,6,3,166,5,medium,F,3,4596
7301,7302,F,Ship,3,2,197,4,medium,M,1,5210
5540,5541,A,Ship,4,4,200,2,low,M,5,5783
1697,1698,F,Ship,3,2,263,3,high,F,44,3802
2792,2793,A,Ship,4,4,171,3,medium,F,11,1594
2222,2223,A,Ship,3,4,234,3,medium,F,37,2111
5818,5819,C,Ship,5,5,273,4,low,M,7,4064
10636,10637,C,Ship,5,5,132,3,low,F,2,5552
3764,3765,A,Ship,5,4,241,3,high,M,6,4157
3866,3867,A,Ship,2,2,157,2,medium,M,9,5875
7797,7798,B,Road,5,3,193,4,medium,F,3,5026
9543,9544,B,Ship,3,5,247,3,medium,F,7,4966
9848,9849,A,Road,3,2,175,2,low,M,9,4859
8114,8115,A,Ship,4,2,249,3,low,F,9,5459
2512,2513,C,Ship,3,5,178,3,low,F,39,1498
3758,3759,A,Ship,6,3,231,4,low,F,7,4553
2831,2832,F,Ship,4,2,167,3,low,M,21,1637
3227,3228,F,Ship,3,3,205,3,low,M,10,5714
4214,4215,A,Ship,3,1,214,3,medium,F,2,4958
3923,3924,F,Ship,4,2,151,4,medium,F,5,5469
